,Pair,RC,IRS,STS,VTS,RRS,SD,TD
287,"(13, 19)",70,34.28571429,35,40,100,2,60
288,"(13, 20)",70,34.28571429,35,40,100,2,81
289,"(13, 21)",70,34.28571429,35,40,100,2,81
290,"(13, 22)",75,30,65,70,100,5,33
291,"(13, 23)",65,22.5,65,70,100,1,86
292,"(13, 24)",65,18.33333333,65,70,100,1,69
293,"(13, 25)",70,0,5,10,75,2,75
294,"(13, 26)",65,48.75,20,25,100,3,115
295,"(13, 27)",70,51.42857143,20,25,100,2,120
296,"(13, 28)",75,48.75,5,10,100,3,382
297,"(13, 29)",75,65,0,5,100,3,366
298,"(13, 30)",70,34.28571429,40,45,100,2,135
299,"(14, 15)",65,25.75757576,35,40,100,5,178
300,"(14, 16)",50,23.80952381,5,10,95,8,406
301,"(14, 17)",70,14.58333333,0,0,100,2,249
302,"(14, 18)",55,12.87878788,0,0,100,5,244
303,"(14, 19)",75,30.95238095,35,40,100,1,62
304,"(14, 20)",75,30.95238095,35,40,100,1,83
305,"(14, 21)",75,30.95238095,35,40,100,1,83
306,"(14, 22)",70,26.66666667,65,70,100,4,31
307,"(14, 23)",70,41.66666667,65,70,100,2,84
308,"(14, 24)",70,33.33333333,65,70,100,0,67
309,"(14, 25)",75,0,5,10,75,1,77
310,"(14, 26)",60,43.75,20,25,100,2,117
311,"(14, 27)",65,46.42857143,20,25,100,1,122
312,"(14, 28)",70,43.75,0,5,100,2,384
313,"(14, 29)",70,58.33333333,0,5,100,2,368
314,"(14, 30)",75,30.95238095,40,45,100,1,137
315,"(15, 16)",65,16.23376623,10,15,95,3,228
316,"(15, 17)",65,21.59090909,0,0,100,3,71
317,"(15, 18)",60,9.090909091,0,0,100,0,66
318,"(15, 19)",70,46.75324675,30,35,100,4,116
319,"(15, 20)",70,46.75324675,20,25,100,4,95
320,"(15, 21)",70,46.75324675,20,25,100,4,95
321,"(15, 22)",85,47.72727273,30,35,100,1,209
322,"(15, 23)",55,0,20,30,100,7,262
323,"(15, 24)",55,0,20,25,100,5,245
324,"(15, 25)",70,23.37662338,35,35,75,4,101
325,"(15, 26)",55,21.59090909,35,40,100,3,61
326,"(15, 27)",50,11.68831169,35,40,100,4,56
327,"(15, 28)",65,21.59090909,0,5,100,3,206
328,"(15, 29)",65,21.59090909,0,5,100,3,190
329,"(15, 30)",80,35.06493506,45,50,100,4,41
330,"(16, 17)",60,39.28571429,0,0,95,6,157
331,"(16, 18)",75,40.58441558,5,0,95,3,162
332,"(16, 19)",65,32.14285714,5,10,95,7,344
333,"(16, 20)",65,32.14285714,5,10,95,7,323
334,"(16, 21)",65,32.14285714,5,10,95,7,323
335,"(16, 22)",50,42.85714286,5,10,95,4,437
336,"(16, 23)",50,32.14285714,5,10,95,10,490
337,"(16, 24)",60,23.80952381,5,10,95,8,473
338,"(16, 25)",65,21.42857143,35,45,70,7,329
339,"(16, 26)",60,29.46428571,15,20,95,6,289
340,"(16, 27)",55,32.14285714,15,20,95,7,284
341,"(16, 28)",70,39.28571429,20,25,95,6,22
342,"(16, 29)",70,29.46428571,20,25,95,6,38
343,"(16, 30)",65,32.14285714,20,25,95,7,269
344,"(17, 18)",65,53.97727273,35,40,100,3,5
345,"(17, 19)",75,26.78571429,0,0,100,1,187
346,"(17, 20)",75,26.78571429,0,0,100,1,166
347,"(17, 21)",75,13.39285714,0,0,100,1,166
348,"(17, 22)",60,45,0,0,100,2,280
349,"(17, 23)",70,18.75,0,0,100,4,333
350,"(17, 24)",70,14.58333333,0,0,100,2,316
351,"(17, 25)",55,13.39285714,0,0,75,1,172
352,"(17, 26)",60,12.5,0,0,100,0,132
353,"(17, 27)",65,13.39285714,0,0,100,1,127
354,"(17, 28)",70,37.5,30,30,100,0,135
355,"(17, 29)",70,25,25,25,100,0,119
356,"(17, 30)",65,13.39285714,0,0,100,1,112
357,"(18, 19)",50,23.37662338,0,0,100,4,182
358,"(18, 20)",50,23.37662338,0,0,100,4,161
359,"(18, 21)",50,11.68831169,0,0,100,4,161
360,"(18, 22)",55,28.63636364,0,0,100,1,275
361,"(18, 23)",55,17.04545455,0,0,100,7,328
362,"(18, 24)",55,25.75757576,0,0,100,5,311
363,"(18, 25)",60,23.37662338,0,0,75,4,167
364,"(18, 26)",55,10.79545455,0,0,100,3,127
365,"(18, 27)",50,11.68831169,0,0,100,4,122
366,"(18, 28)",65,32.38636364,30,25,100,3,140
367,"(18, 29)",65,21.59090909,25,20,100,3,124
368,"(18, 30)",50,11.68831169,0,0,100,4,107
369,"(19, 20)",100,100,100,100,100,0,21
370,"(19, 21)",100,85.71428571,95,100,100,0,21
371,"(19, 22)",65,48.57142857,40,45,100,3,93
372,"(19, 23)",65,19.64285714,40,45,100,3,146
373,"(19, 24)",75,15.47619048,40,45,100,1,129
374,"(19, 25)",70,14.28571429,0,0,75,0,15
375,"(19, 26)",65,26.78571429,25,30,100,1,55
376,"(19, 27)",70,28.57142857,25,30,100,0,60
377,"(19, 28)",85,53.57142857,5,10,100,1,322
378,"(19, 29)",85,53.57142857,0,5,100,1,306
379,"(19, 30)",80,42.85714286,45,50,100,0,75
380,"(20, 21)",100,85.71428571,95,100,100,0,0
381,"(20, 22)",65,48.57142857,40,45,100,3,114
382,"(20, 23)",65,19.64285714,40,40,100,3,167
383,"(20, 24)",75,15.47619048,40,45,100,1,150
384,"(20, 25)",70,14.28571429,0,0,75,0,6
385,"(20, 26)",65,26.78571429,25,30,100,1,34
386,"(20, 27)",70,28.57142857,25,30,100,0,39
387,"(20, 28)",85,53.57142857,0,5,100,1,301
388,"(20, 29)",85,53.57142857,0,5,100,1,285
389,"(20, 30)",80,42.85714286,50,55,100,0,54
390,"(21, 22)",65,36.42857143,40,45,100,3,114
391,"(21, 23)",65,0,35,45,100,3,167
392,"(21, 24)",75,0,35,40,100,1,150
393,"(21, 25)",70,14.28571429,0,0,75,0,6
394,"(21, 26)",65,26.78571429,25,30,100,1,34
395,"(21, 27)",70,28.57142857,25,30,100,0,39
396,"(21, 28)",85,40.17857143,0,5,100,1,301
397,"(21, 29)",85,40.17857143,0,0,100,1,285
398,"(21, 30)",80,42.85714286,45,55,100,0,54
399,"(22, 23)",50,17.5,70,75,100,6,53
400,"(22, 24)",50,13.33333333,70,75,100,4,36
401,"(22, 25)",55,12.14285714,0,10,75,3,108
402,"(22, 26)",50,11.25,15,15,100,2,148
403,"(22, 27)",55,12.14285714,15,20,100,3,153
404,"(22, 28)",70,33.75,0,5,100,2,415
405,"(22, 29)",70,22.5,0,0,100,2,399
406,"(22, 30)",75,36.42857143,30,35,100,3,168
407,"(23, 24)",90,83.33333333,100,100,100,2,17
408,"(23, 25)",75,19.64285714,0,0,75,3,161
409,"(23, 26)",60,37.5,15,15,100,4,201
410,"(23, 27)",65,39.28571429,15,20,100,3,206
411,"(23, 28)",70,37.5,5,10,100,4,468
412,"(23, 29)",70,56.25,0,0,100,4,452
413,"(23, 30)",75,19.64285714,35,40,100,3,221
