,Pair,RC,IRS,STS,VTS,RRS,SD,TD,Target
362,"(46, 48)",60,33.9869281,25,30,100,8,207,0
363,"(46, 49)",45,33.82352941,0,5,100,11,214,0
364,"(46, 50)",45,45.09803922,0,5,100,11,172,0
365,"(46, 51)",50,50.42016807,10,15,100,10,352,0
366,"(46, 52)",65,31.76470588,5,5,100,7,167,0
367,"(46, 53)",55,47.64705882,30,35,100,7,68,0
368,"(46, 54)",70,37.43315508,0,0,100,6,181,0
369,"(46, 55)",100,94.11764706,95,100,100,0,19,1
370,"(47, 48)",65,27.77777778,5,5,100,3,280,0
371,"(47, 49)",60,16.66666667,0,5,100,0,141,0
372,"(47, 50)",60,16.66666667,5,10,100,0,99,0
373,"(47, 51)",75,30.95238095,0,5,100,1,425,0
374,"(47, 52)",60,26.66666667,5,5,100,4,240,0
375,"(47, 53)",40,26.66666667,0,5,100,4,141,0
376,"(47, 54)",45,12.87878788,0,0,100,5,254,0
377,"(47, 55)",45,45.09803922,5,10,100,11,54,0
378,"(48, 49)",75,41.66666667,0,5,100,3,421,0
379,"(48, 50)",75,55.55555556,0,5,100,3,379,0
380,"(48, 51)",80,76.19047619,40,45,100,2,145,0
381,"(48, 52)",65,31.66666667,55,50,100,1,40,0
382,"(48, 53)",55,31.66666667,10,15,100,1,139,0
383,"(48, 54)",60,10.1010101,0,0,100,2,26,0
384,"(48, 55)",60,42.48366013,25,30,100,8,226,0
385,"(49, 50)",100,83.33333333,95,95,100,0,42,1
386,"(49, 51)",75,30.95238095,0,5,100,1,566,0
387,"(49, 52)",60,26.66666667,10,10,100,4,381,0
388,"(49, 53)",70,26.66666667,0,5,100,4,282,0
389,"(49, 54)",65,38.63636364,20,20,100,5,395,0
390,"(49, 55)",45,33.82352941,0,5,100,11,195,0
391,"(50, 51)",75,46.42857143,0,5,100,1,524,0
392,"(50, 52)",60,26.66666667,5,5,100,4,339,0
393,"(50, 53)",70,40,0,5,100,4,240,0
394,"(50, 54)",65,25.75757576,15,15,100,5,353,0
395,"(50, 55)",45,45.09803922,0,5,100,11,153,0
396,"(51, 52)",75,24.28571429,0,0,100,3,185,0
397,"(51, 53)",65,36.42857143,15,20,100,3,284,0
398,"(51, 54)",60,11.68831169,0,0,100,4,171,0
399,"(51, 55)",50,50.42016807,20,25,100,10,371,0
400,"(52, 53)",70,30,10,10,100,0,99,0
401,"(52, 54)",65,19.09090909,0,0,100,1,14,0
402,"(52, 55)",65,39.70588235,5,5,100,7,186,0
403,"(53, 54)",55,38.18181818,0,0,100,1,113,0
404,"(53, 55)",55,47.64705882,30,35,100,7,87,0
405,"(54, 55)",70,37.43315508,0,0,100,6,200,0
